Player_Name,Year,Matches_Batted,Runs_Scored,Batting_Average,Batting_Strike_Rate,Balls_Faced,Matches_Bowled,Balls_Bowled,Wickets_Taken,Bowling_Average,Economy_Rate,Batsman_Type,Bowler_Type,Batsman_Dominance,Bowler_Dominance,Rolling_Avg_Runs
Ramandeep Singh,2022.0,5,45.0,22.5,112.5,40.0,5,36,6.0,9.0,9.0,Anchor,Pace,12.499861112654305,0.39999822223012343,85.0
Rashid Khan,2024.0,12,102.0,20.4,143.66,71.0,12,262,10.0,36.7,8.4,Aggressive,Spin,17.102177355031486,1.7990107891627984,102.0
Rashid Khan,2023.0,17,130.0,32.5,216.67,60.0,17,402,27.0,20.44,8.24,Aggressive,Spin,26.294583803594616,0.6289211417811021,116.0
Rashid Khan,2022.0,16,91.0,22.75,206.82,44.0,16,383,19.0,22.16,6.6,Aggressive,Spin,31.33588885016894,0.9740616524762529,107.66666666666667
Rashid Khan,2021.0,14,83.0,10.37,120.28,69.0,14,336,18.0,20.83,6.69,Anchor,Spin,17.978804502174857,2.0086595114801207,101.5
Rashid Khan,2020.0,16,35.0,8.75,116.66,30.0,16,384,20.0,17.2,5.37,Anchor,Spin,21.72399024226737,1.9656918206649066,88.2
Rashid Khan,2019.0,15,34.0,6.8,147.82,23.0,15,360,17.0,22.17,6.28,Aggressive,Spin,23.537841754112193,3.2602461728503997,79.16666666666667
Rashid Khan,2018.0,17,59.0,11.8,190.32,31.0,17,408,21.0,21.8,6.73,Aggressive,Spin,28.27892601892988,1.8474419708307557,76.28571428571429
Rashid Khan,2017.0,14,11.0,5.5,122.22,9.0,14,324,17.0,21.05,6.62,Anchor,Spin,18.461956768024653,3.8272031417610592,68.125
Rasikh Dar,2024.0,8,28.0,7.0,93.33,30.0,8,147,9.0,29.89,10.98,Anchor,Pace,8.499922587225981,4.269939000871417,28.0
Rasikh Dar,2022.0,2,7.0,7.0,116.67,6.0,2,24,0.0,0.0,7.0,Anchor,Spin,16.66690475850345,0.0,17.5
Rasikh Dar,2019.0,1,5.0,0.0,125.0,4.0,1,24,0.0,0.0,10.5,Anchor,Pace,11.904648527156885,0.0,13.333333333333334
Ravi Bishnoi,2024.0,14,4.0,1.33,66.67,6.0,14,262,10.0,38.3,8.77,Anchor,Pace,7.6019657700596355,28.794827456582208,4.0
Ravi Bishnoi,2023.0,15,20.0,6.67,74.07,27.0,15,303,16.0,24.44,7.74,Anchor,Spin,9.569643803051639,3.664112981814366,12.0
Ravi Bishnoi,2022.0,14,0.0,0.0,0.0,1.0,14,324,13.0,35.08,8.44,Anchor,Spin,0.0,350799.99999999994,8.0
Ravi Bishnoi,2021.0,9,1.0,1.0,25.0,4.0,9,210,12.0,18.5,6.34,Anchor,Spin,3.9431554707339003,18.4981501849815,6.25
Ravi Bishnoi,2020.0,14,7.0,7.0,58.33,12.0,14,306,12.0,31.33,7.37,Anchor,Spin,7.91441093065223,4.475650347852174,6.4
Ravichandran Ashwin,2024.0,14,86.0,14.33,116.22,74.0,15,330,9.0,51.89,8.49,Anchor,Spin,13.6888847010047,3.6210493995157047,86.0
Ravichandran Ashwin,2023.0,13,67.0,11.17,131.37,51.0,13,294,14.0,26.29,7.51,Anchor,Spin,17.492443509407334,2.353604712580908,76.5
Ravichandran Ashwin,2022.0,17,191.0,27.29,141.48,135.0,17,402,12.0,41.92,7.51,Aggressive,Spin,18.83863064406599,1.5360881784969642,114.66666666666667
Ravichandran Ashwin,2021.0,13,44.0,14.66,104.76,42.0,13,268,7.0,47.28,7.41,Anchor,Spin,14.137461032914537,3.225080320052387,97.0
Ravichandran Ashwin,2020.0,15,37.0,12.33,108.82,34.0,15,306,13.0,30.07,7.66,Anchor,Spin,14.206080860563178,2.438747455413987,85.0
Ravichandran Ashwin,2019.0,14,42.0,8.4,150.0,28.0,14,330,15.0,26.66,7.27,Aggressive,Spin,20.632453473817417,3.1737717408126094,77.83333333333333
Ravichandran Ashwin,2018.0,14,102.0,12.75,143.66,71.0,14,304,10.0,41.0,8.09,Aggressive,Spin,17.75750608768742,3.215661053638795,81.28571428571429
Ravichandran Ashwin,2016.0,14,41.0,20.5,107.89,38.0,14,264,10.0,31.9,7.25,Anchor,Spin,14.881174052771687,1.5560899702928277,76.25
Ravichandran Ashwin,2015.0,14,52.0,17.33,162.5,32.0,14,234,10.0,22.8,5.84,Aggressive,Spin,27.82486601256828,1.3156300309865496,73.55555555555556
Ravichandran Ashwin,2014.0,16,45.0,15.0,100.0,45.0,16,359,16.0,27.31,7.3,Anchor,Spin,13.698442487089219,1.8206545289698068,70.7
